iter	Passed	Remaining
0	4	963
1	9	904
2	13	873
3	17	862
4	22	858
5	26	856
6	31	856
7	35	854
8	40	856
9	45	857
10	49	857
11	54	856
12	59	854
13	64	853
14	69	853
15	73	849
16	78	845
17	83	843
18	88	840
19	92	836
20	97	834
21	102	830
22	107	828
23	112	825
24	117	821
25	122	818
26	127	816
27	132	811
28	137	809
29	142	808
30	148	807
31	153	803
32	158	799
33	162	795
34	167	790
35	172	786
36	177	782
37	182	777
38	187	773
39	192	768
40	197	764
41	202	760
42	207	757
43	212	751
44	217	748
45	222	743
46	226	738
47	231	734
48	236	729
49	241	725
50	247	722
51	253	720
52	258	716
53	263	713
54	269	711
55	275	707
56	280	704
57	286	701
58	292	698
59	297	695
60	303	691
61	309	688
62	315	685
63	321	683
64	327	680
65	333	677
66	339	674
67	346	671
68	352	669
69	359	666
70	364	662
71	370	658
72	375	653
73	380	648
74	386	643
75	391	638
76	396	633
77	401	628
78	406	623
79	414	622
80	424	623
81	431	621
82	438	618
83	446	616
84	451	611
85	458	607
86	463	602
87	469	596
88	475	593
89	481	588
90	486	583
91	492	578
92	497	572
93	503	567
94	508	562
95	513	556
96	519	551
97	524	545
98	529	540
99	535	535
100	540	529
101	545	524
102	551	519
103	557	514
104	562	509
105	568	503
106	573	498
107	579	493
108	584	487
109	589	482
110	594	476
111	599	471
112	604	465
113	609	460
114	614	454
115	619	448
116	624	442
117	629	437
118	634	431
119	639	426
120	643	420
121	648	414
122	653	409
123	658	403
124	663	398
125	668	392
126	674	387
127	679	381
128	684	376
129	689	371
130	694	365
131	699	360
132	704	354
133	708	349
134	713	343
135	719	338
136	724	333
137	729	327
138	734	322
139	739	316
140	744	311
141	749	306
142	754	300
143	759	295
144	764	289
145	769	284
146	774	279
147	779	273
148	784	268
149	789	263
150	794	257
151	799	252
152	803	246
153	808	241
154	813	236
155	819	231
156	825	225
157	830	220
158	835	215
159	840	210
160	845	204
161	850	199
162	857	194
163	863	189
164	869	184
165	874	179
166	879	173
167	886	168
168	892	163
169	897	158
170	903	153
171	908	147
172	914	142
173	920	137
174	925	132
175	931	126
176	936	121
177	941	116
178	947	111
179	953	105
180	960	100
181	966	95
182	971	90
183	977	84
184	982	79
185	987	74
186	993	69
187	998	63
188	1003	58
189	1009	53
190	1014	47
191	1019	42
192	1025	37
193	1031	31
194	1036	26
195	1042	21
196	1047	15
197	1052	10
198	1058	5
199	1064	0
