transaction_id,timestamp,amount,currency,transaction_type,originator_country,beneficiary_country,risk_score,is_laundering,typology,high_amount,cross_border,unusual_hour,dataset_source
SAML_000000,2024-01-01 00:00:00,8050.0073,USD,WITHDRAWAL,FR,DE,0.19799093902111053,False,PHANTOM_TRANSACTIONS,False,True,True,saml_d
SAML_000001,2024-01-01 00:30:00,2260.7942,USD,WITHDRAWAL,FR,NL,0.24390526115894318,False,SHELL_COMPANY,False,True,True,saml_d
SAML_000002,2024-01-01 01:00:00,10887.57,USD,WITHDRAWAL,DE,US,0.14079880714416504,False,LAYERING,False,True,True,saml_d
SAML_000003,2024-01-01 01:30:00,62696.426,USD,WITHDRAWAL,CA,DE,0.24650272727012634,False,TRADE_BASED,False,True,True,saml_d
SAML_000004,2024-01-01 02:00:00,1866.263,USD,DEPOSIT,DE,UK,0.5723720192909241,True,CASH_INTENSIVE,False,True,True,saml_d
SAML_000005,2024-01-01 02:30:00,1866.3242,EUR,WITHDRAWAL,CA,DE,0.17767183482646942,False,STRUCTURING,False,True,True,saml_d
SAML_000006,2024-01-01 03:00:00,70152.42,EUR,TRANSFER,DE,DE,0.22840453684329987,False,SMURFING,True,False,True,saml_d
SAML_000007,2024-01-01 03:30:00,13833.79,GBP,PAYMENT,CA,CA,0.1915547400712967,False,CASH_INTENSIVE,False,False,True,saml_d
SAML_000008,2024-01-01 04:00:00,1165.6699,USD,DEPOSIT,US,US,0.36586251854896545,False,INTEGRATION,False,False,True,saml_d
SAML_000009,2024-01-01 04:30:00,8823.025,USD,PAYMENT,DE,US,0.40858855843544006,False,TRADE_BASED,False,True,True,saml_d
SAML_000010,2024-01-01 05:00:00,1179.876,USD,PAYMENT,CA,UK,0.6253096461296082,False,PLACEMENT,False,True,True,saml_d
SAML_000011,2024-01-01 05:30:00,1174.4327,CAD,PAYMENT,NL,UK,0.3163803815841675,False,STRUCTURING,False,True,True,saml_d
SAML_000012,2024-01-01 06:00:00,4836.3936,USD,PAYMENT,UK,UK,0.03443899750709534,False,TRADE_BASED,False,False,False,saml_d
