transaction_id,timestamp,amount,currency,typology,originator_account,beneficiary_account,originator_country,beneficiary_country,risk_score,is_laundering,alert_flag,dataset_source
SAML_000000,2024-01-01 00:00:00,8050.0073,USD,PHANTOM_TRANSACTIONS,SAML_ACC_0136,SAML_ACC_0215,FR,DE,0.19799093902111053,False,False,saml_d
SAML_000001,2024-01-01 00:30:00,2260.7942,USD,SHELL_COMPANY,SAML_ACC_0418,SAML_ACC_0395,FR,NL,0.24390526115894318,False,False,saml_d
SAML_000002,2024-01-01 01:00:00,10887.57,USD,LAYERING,SAML_ACC_0315,SAML_ACC_0112,DE,US,0.14079880714416504,False,False,saml_d
SAML_000003,2024-01-01 01:30:00,62696.426,USD,TRADE_BASED,SAML_ACC_0018,SAML_ACC_0442,CA,DE,0.24650272727012634,False,False,saml_d
SAML_000004,2024-01-01 02:00:00,1866.263,USD,CASH_INTENSIVE,SAML_ACC_0351,SAML_ACC_0192,DE,UK,0.5723720192909241,True,True,saml_d
SAML_000005,2024-01-01 02:30:00,1866.3242,EUR,STRUCTURING,SAML_ACC_0443,SAML_ACC_0402,CA,DE,0.17767183482646942,False,True,saml_d
SAML_000006,2024-01-01 03:00:00,70152.42,EUR,SMURFING,SAML_ACC_0155,SAML_ACC_0047,DE,DE,0.22840453684329987,False,False,saml_d
SAML_000007,2024-01-01 03:30:00,13833.79,GBP,CASH_INTENSIVE,SAML_ACC_0272,SAML_ACC_0489,CA,CA,0.1915547400712967,False,False,saml_d
SAML_000008,2024-01-01 04:00:00,1165.6699,USD,INTEGRATION,SAML_ACC_0266,SAML_ACC_0428,US,US,0.36586251854896545,False,False,saml_d
SAML_000009,2024-01-01 04:30:00,8823.025,USD,TRADE_BASED,SAML_ACC_0360,SAML_ACC_0221,DE,US,0.40858855843544006,False,True,saml_d
SAML_000010,2024-01-01 05:00:00,1179.876,USD,PLACEMENT,SAML_ACC_0332,SAML_ACC_0187,CA,UK,0.6253096461296082,False,False,saml_d
SAML_000011,2024-01-01 05:30:00,1174.4327,CAD,STRUCTURING,SAML_ACC_0406,SAML_ACC_0050,NL,UK,0.3163803815841675,False,False,saml_d
SAML_000012,2024-01-01 06:00:00,4836.3936,USD,TRADE_BASED,SAML_ACC_0016,SAML_ACC_0197,UK,UK,0.03443899750709534,False,False,saml_d
SAML_000013,2024-01-01 06:30:00,64.93842,EUR,INTEGRATION,SAML_ACC_0012,SAML_ACC_0216,UK,US,0.10348987579345703,False,False,saml_d
SAML_000014,2024-01-01 07:00:00,94.647964,USD,PLACEMENT,SAML_ACC_0075,SAML_ACC_0413,DE,CA,0.2952548861503601,False,False,saml_d
SAML_000015,2024-01-01 07:30:00,968.1867,USD,TRADE_BASED,SAML_ACC_0212,SAML_ACC_0221,DE,CA,0.7344500422477722,True,True,saml_d
SAML_000016,2024-01-01 08:00:00,393.2076,USD,INTEGRATION,SAML_ACC_0179,SAML_ACC_0380,FR,FR,0.5765595436096191,False,True,saml_d
SAML_000017,2024-01-01 08:30:00,5588.659,USD,CASH_INTENSIVE,SAML_ACC_0129,SAML_ACC_0090,CA,US,0.2320927530527115,False,False,saml_d
SAML_000018,2024-01-01 09:00:00,484.90445,CAD,SHELL_COMPANY,SAML_ACC_0283,SAML_ACC_0232,DE,FR,0.014019117690622807,False,False,saml_d
SAML_000019,2024-01-01 09:30:00,176.86604,CAD,IDENTITY_THEFT,SAML_ACC_0195,SAML_ACC_0323,UK,DE,0.343456894159317,False,False,saml_d
SAML_000020,2024-01-01 10:00:00,55898.76,USD,SHELL_COMPANY,SAML_ACC_0268,SAML_ACC_0258,UK,UK,0.08830578625202179,False,False,saml_d
SAML_000021,2024-01-01 10:30:00,1897.794,USD,PHANTOM_TRANSACTIONS,SAML_ACC_0030,SAML_ACC_0153,UK,FR,0.24785585701465607,False,False,saml_d
SAML_000022,2024-01-01 11:00:00,3412.0085,CAD,CASH_INTENSIVE,SAML_ACC_0009,SAML_ACC_0256,CA,NL,0.377196729183197,False,True,saml_d
SAML_000023,2024-01-01 11:30:00,172.51836,EUR,SHELL_COMPANY,SAML_ACC_0309,SAML_ACC_0403,US,FR,0.29547572135925293,False,False,saml_d
SAML_000024,2024-01-01 12:00:00,1003.48535,USD,SMURFING,SAML_ACC_0445,SAML_ACC_0424,DE,US,0.08699978142976761,False,False,saml_d
SAML_000025,2024-01-01 12:30:00,3721.3625,USD,WIRE_FRAUD,SAML_ACC_0310,SAML_ACC_0258,US,UK,0.4128917157649994,True,True,saml_d
SAML_000026,2024-01-01 13:00:00,298.2741,USD,CASH_INTENSIVE,SAML_ACC_0165,SAML_ACC_0467,CA,UK,0.5900285243988037,False,False,saml_d
SAML_000027,2024-01-01 13:30:00,6319.5044,USD,CASH_INTENSIVE,SAML_ACC_0193,SAML_ACC_0065,NL,CA,0.3914506137371063,False,False,saml_d
SAML_000028,2024-01-01 14:00:00,896.7011,USD,IDENTITY_THEFT,SAML_ACC_0426,SAML_ACC_0190,DE,FR,0.20266106724739075,False,False,saml_d
SAML_000029,2024-01-01 14:30:00,1663.3893,USD,CASH_INTENSIVE,SAML_ACC_0305,SAML_ACC_0091,FR,CA,0.28664013743400574,False,False,saml_d
SAML_000030,2024-01-01 15:00:00,894.78796,USD,PHANTOM_TRANSACTIONS,SAML_ACC_0260,SAML_ACC_0438,DE,FR,0.2667624354362488,False,False,saml_d
SAML_000031,2024-01-01 15:30:00,121122.336,USD,WIRE_FRAUD,SAML_ACC_0192,SAML_ACC_0173,DE,US,0.0978141650557518,False,True,saml_d
SAML_000032,2024-01-01 16:00:00,2901.5652,USD,TRADE_BASED,SAML_ACC_0079,SAML_ACC_0247,DE,US,0.2025996893644333,False,False,saml_d
SAML_000033,2024-01-01 16:30:00,359.4511,GBP,LAYERING,SAML_ACC_0179,SAML_ACC_0256,DE,DE,0.14584214985370636,False,False,saml_d
SAML_000034,2024-01-01 17:00:00,15445.76,EUR,CASH_INTENSIVE,SAML_ACC_0091,SAML_ACC_0116,NL,FR,0.16533097624778748,False,True,saml_d
SAML_000035,2024-01-01 17:30:00,259.3848,USD,WIRE_FRAUD,SAML_ACC_0456,SAML_ACC_0049,DE,FR,0.2910633385181427,False,False,saml_d
SAML_000036,2024-01-01 18:00:00,4526.6035,CAD,PLACEMENT,SAML_ACC_0444,SAML_ACC_0227,CA,UK,0.2579956650733948,False,False,saml_d
SAML_000037,2024-01-01 18:30:00,59.184505,CAD,CRYPTOCURRENCY,SAML_ACC_0215,SAML_ACC_0489,DE,UK,0.15638181567192078,False,True,saml_d
SAML_000038,2024-01-01 19:00:00,209.27055,USD,CRYPTOCURRENCY,SAML_ACC_0079,SAML_ACC_0069,NL,CA,0.783189058303833,False,False,saml_d
SAML_000039,2024-01-01 19:30:00,4419.238,USD,TRADE_BASED,SAML_ACC_0475,SAML_ACC_0422,CA,DE,0.2500268816947937,False,True,saml_d
SAML_000040,2024-01-01 20:00:00,13055.087,EUR,WIRE_FRAUD,SAML_ACC_0415,SAML_ACC_0388,DE,US,0.43346476554870605,False,False,saml_d
SAML_000041,2024-01-01 20:30:00,4199.5664,GBP,TRADE_BASED,SAML_ACC_0103,SAML_ACC_0401,DE,FR,0.5196395516395569,False,False,saml_d
SAML_000042,2024-01-01 21:00:00,2365.4023,CAD,TRADE_BASED,SAML_ACC_0111,SAML_ACC_0126,CA,CA,0.26883411407470703,False,False,saml_d
SAML_000043,2024-01-01 21:30:00,1632.3772,GBP,IDENTITY_THEFT,SAML_ACC_0456,SAML_ACC_0437,DE,DE,0.11339795589447021,False,False,saml_d
SAML_000044,2024-01-01 22:00:00,154.9273,EUR,STRUCTURING,SAML_ACC_0478,SAML_ACC_0213,NL,UK,0.20532236993312836,False,False,saml_d
SAML_000045,2024-01-01 22:30:00,706.4918,USD,PLACEMENT,SAML_ACC_0314,SAML_ACC_0053,UK,DE,0.4123680889606476,False,False,saml_d
SAML_000046,2024-01-01 23:00:00,1186.4518,USD,PLACEMENT,SAML_ACC_0247,SAML_ACC_0112,DE,CA,0.12557606399059296,False,False,saml_d
SAML_000047,2024-01-01 23:30:00,24692.244,USD,PLACEMENT,SAML_ACC_0234,SAML_ACC_0159,FR,US,0.07602698355913162,False,False,saml_d
SAML_000048,2024-01-02 00:00:00,5926.7812,USD,SMURFING,SAML_ACC_0082,SAML_ACC_0240,CA,UK,0.43792107701301575,False,True,saml_d
SAML_000049,2024-01-02 00:30:00,87.69981,EUR,SHELL_COMPANY,SAML_ACC_0132,SAML_ACC_0150,NL,NL,0.13610537350177765,False,False,saml_d
SAML_000050,2024-01-02 01:00:00,5699.695,USD,PLACEMENT,SAML_ACC_0495,SAML_ACC_0139,DE,UK,0.5668246150016785,False,True,saml_d
SAML_000051,2024-01-02 01:30:00,1379.9954,EUR,PLACEMENT,SAML_ACC_0235,SAML_ACC_0418,DE,US,0.11360558122396469,False,False,saml_d
SAML_000052,2024-01-02 02:00:00,769.81946,USD,PHANTOM_TRANSACTIONS,SAML_ACC_0278,SAML_ACC_0113,CA,UK,0.3957584798336029,False,False,saml_d
SAML_000053,2024-01-02 02:30:00,10130.973,USD,IDENTITY_THEFT,SAML_ACC_0387,SAML_ACC_0143,US,CA,0.2546091675758362,False,False,saml_d
SAML_000054,2024-01-02 03:00:00,23435.309,USD,PHANTOM_TRANSACTIONS,SAML_ACC_0335,SAML_ACC_0370,NL,UK,0.20308206975460052,False,True,saml_d
SAML_000055,2024-01-02 03:30:00,19197.979,USD,TRADE_BASED,SAML_ACC_0099,SAML_ACC_0138,NL,FR,0.3043076992034912,False,True,saml_d
SAML_000056,2024-01-02 04:00:00,556.4431,EUR,IDENTITY_THEFT,SAML_ACC_0431,SAML_ACC_0486,UK,DE,0.15732258558273315,False,True,saml_d
SAML_000057,2024-01-02 04:30:00,1606.1178,EUR,LAYERING,SAML_ACC_0038,SAML_ACC_0480,UK,CA,0.19404007494449615,False,True,saml_d
SAML_000058,2024-01-02 05:00:00,5782.127,CAD,LAYERING,SAML_ACC_0161,SAML_ACC_0437,DE,US,0.4992735683917999,True,True,saml_d
SAML_000059,2024-01-02 05:30:00,20975.078,USD,PHANTOM_TRANSACTIONS,SAML_ACC_0462,SAML_ACC_0304,CA,CA,0.23449960350990295,False,False,saml_d
