transaction_id,timestamp,amount,log_amount,currency,originator_account,beneficiary_account,originator_country,beneficiary_country,transaction_type,typology,is_laundering,risk_score,hour,day_of_week,is_weekend,is_business_hours,high_amount,unusual_hour,cross_border,is_round_amount,orig_tx_count,orig_total_amount,orig_avg_amount,orig_ml_rate,dataset_source
SAML_000000,2024-01-01 00:00:00,8050.0073,8.993552,USD,SAML_ACC_0136,SAML_ACC_0215,FR,DE,WITHDRAWAL,PHANTOM_TRANSACTIONS,False,0.19799093902111053,0,0,False,False,False,True,True,False,14,152817.56,10915.54,0.1429,saml_d
SAML_000001,2024-01-01 00:30:00,2260.7942,7.7239137,USD,SAML_ACC_0418,SAML_ACC_0395,FR,NL,WITHDRAWAL,SHELL_COMPANY,False,0.24390526115894318,0,0,False,False,False,True,True,False,10,127042.945,12704.295,0.1,saml_d
SAML_000002,2024-01-01 01:00:00,10887.57,9.295469,USD,SAML_ACC_0315,SAML_ACC_0112,DE,US,WITHDRAWAL,LAYERING,False,0.14079880714416504,1,0,False,False,False,True,True,False,11,145245.42,13204.129,0.0909,saml_d
SAML_000003,2024-01-01 01:30:00,62696.426,11.046076,USD,SAML_ACC_0018,SAML_ACC_0442,CA,DE,WITHDRAWAL,TRADE_BASED,False,0.24650272727012634,1,0,False,False,False,True,True,False,9,635668.0,70629.78,0.0,saml_d
SAML_000004,2024-01-01 02:00:00,1866.263,7.532229,USD,SAML_ACC_0351,SAML_ACC_0192,DE,UK,DEPOSIT,CASH_INTENSIVE,True,0.5723720192909241,2,0,False,False,False,True,True,False,11,262465.8,23860.53,0.0909,saml_d
SAML_000005,2024-01-01 02:30:00,1866.3242,7.532262,EUR,SAML_ACC_0443,SAML_ACC_0402,CA,DE,WITHDRAWAL,STRUCTURING,False,0.17767183482646942,2,0,False,False,False,True,True,False,8,41792.957,5224.1196,0.125,saml_d
SAML_000006,2024-01-01 03:00:00,70152.42,11.15844,EUR,SAML_ACC_0155,SAML_ACC_0047,DE,DE,TRANSFER,SMURFING,False,0.22840453684329987,3,0,False,False,True,True,False,False,10,206749.11,20674.91,0.1,saml_d
SAML_000007,2024-01-01 03:30:00,13833.79,9.534942,GBP,SAML_ACC_0272,SAML_ACC_0489,CA,CA,PAYMENT,CASH_INTENSIVE,False,0.1915547400712967,3,0,False,False,False,True,False,False,8,67872.03,8484.004,0.25,saml_d
SAML_000008,2024-01-01 04:00:00,1165.6699,7.0619087,USD,SAML_ACC_0266,SAML_ACC_0428,US,US,DEPOSIT,INTEGRATION,False,0.36586251854896545,4,0,False,False,False,True,False,False,9,211673.56,23519.285,0.1111,saml_d
SAML_000009,2024-01-01 04:30:00,8823.025,9.085234,USD,SAML_ACC_0360,SAML_ACC_0221,DE,US,PAYMENT,TRADE_BASED,False,0.40858855843544006,4,0,False,False,False,True,True,False,14,402323.5,28737.393,0.0714,saml_d
