transaction_id,timestamp,amount,currency,originator_account,beneficiary_account,originator_bank,beneficiary_bank,transaction_type,originator_country,beneficiary_country,is_laundering,typology,risk_score,alert_flag,dataset_source,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,hour,day_of_week,is_weekend,is_business_hours,log_amount,amount_rounded,is_round_amount,high_amount,unusual_hour,cross_border
SAML_000000,2024-01-01 00:00:00,8050.0073,USD,SAML_ACC_0136,SAML_ACC_0215,BANK_A,BANK_A,WITHDRAWAL,FR,DE,False,PHANTOM_TRANSACTIONS,0.19799093902111053,False,saml_d,,,,,,,,,,,0,0,False,False,8.993552,8100.0,False,False,True,True
SAML_000001,2024-01-01 00:30:00,2260.7942,USD,SAML_ACC_0418,SAML_ACC_0395,BANK_C,BANK_A,WITHDRAWAL,FR,NL,False,SHELL_COMPANY,0.24390526115894318,False,saml_d,,,,,,,,,,,0,0,False,False,7.7239137,2300.0,False,False,True,True
SAML_000002,2024-01-01 01:00:00,10887.57,USD,SAML_ACC_0315,SAML_ACC_0112,BANK_A,BANK_A,WITHDRAWAL,DE,US,False,LAYERING,0.14079880714416504,False,saml_d,,,,,,,,,,,1,0,False,False,9.295469,10900.0,False,False,True,True
SAML_000003,2024-01-01 01:30:00,62696.426,USD,SAML_ACC_0018,SAML_ACC_0442,BANK_B,BANK_B,WITHDRAWAL,CA,DE,False,TRADE_BASED,0.24650272727012634,False,saml_d,,,,,,,,,,,1,0,False,False,11.046076,62700.0,False,False,True,True
SAML_000004,2024-01-01 02:00:00,1866.263,USD,SAML_ACC_0351,SAML_ACC_0192,BANK_B,BANK_B,DEPOSIT,DE,UK,True,CASH_INTENSIVE,0.5723720192909241,True,saml_d,,,,,,,,,,,2,0,False,False,7.532229,1900.0,False,False,True,True
SAML_000005,2024-01-01 02:30:00,1866.3242,EUR,SAML_ACC_0443,SAML_ACC_0402,BANK_C,BANK_C,WITHDRAWAL,CA,DE,False,STRUCTURING,0.17767183482646942,True,saml_d,,,,,,,,,,,2,0,False,False,7.532262,1900.0,False,False,True,True
SAML_000006,2024-01-01 03:00:00,70152.42,EUR,SAML_ACC_0155,SAML_ACC_0047,BANK_C,BANK_B,TRANSFER,DE,DE,False,SMURFING,0.22840453684329987,False,saml_d,,,,,,,,,,,3,0,False,False,11.15844,70200.0,False,True,True,False
SAML_000007,2024-01-01 03:30:00,13833.79,GBP,SAML_ACC_0272,SAML_ACC_0489,BANK_A,BANK_A,PAYMENT,CA,CA,False,CASH_INTENSIVE,0.1915547400712967,False,saml_d,,,,,,,,,,,3,0,False,False,9.534942,13800.0,False,False,True,False
SAML_000008,2024-01-01 04:00:00,1165.6699,USD,SAML_ACC_0266,SAML_ACC_0428,BANK_C,BANK_B,DEPOSIT,US,US,False,INTEGRATION,0.36586251854896545,False,saml_d,,,,,,,,,,,4,0,False,False,7.0619087,1200.0,False,False,True,False
SAML_000009,2024-01-01 04:30:00,8823.025,USD,SAML_ACC_0360,SAML_ACC_0221,BANK_C,BANK_B,PAYMENT,DE,US,False,TRADE_BASED,0.40858855843544006,True,saml_d,,,,,,,,,,,4,0,False,False,9.085234,8800.0,False,False,True,True
SAML_000010,2024-01-01 05:00:00,1179.876,USD,SAML_ACC_0332,SAML_ACC_0187,BANK_C,BANK_A,PAYMENT,CA,UK,False,PLACEMENT,0.6253096461296082,False,saml_d,,,,,,,,,,,5,0,False,False,7.074012,1200.0,False,False,True,True
SAML_000011,2024-01-01 05:30:00,1174.4327,CAD,SAML_ACC_0406,SAML_ACC_0050,BANK_B,BANK_C,PAYMENT,NL,UK,False,STRUCTURING,0.3163803815841675,False,saml_d,,,,,,,,,,,5,0,False,False,7.0693917,1200.0,False,False,True,True
SAML_000012,2024-01-01 06:00:00,4836.3936,USD,SAML_ACC_0016,SAML_ACC_0197,BANK_C,BANK_B,PAYMENT,UK,UK,False,TRADE_BASED,0.03443899750709534,False,saml_d,,,,,,,,,,,6,0,False,False,8.484131,4800.0,False,False,False,False
SAML_000013,2024-01-01 06:30:00,64.93842,EUR,SAML_ACC_0012,SAML_ACC_0216,BANK_C,BANK_C,PAYMENT,UK,US,False,INTEGRATION,0.10348987579345703,False,saml_d,,,,,,,,,,,6,0,False,False,4.188721,100.0,False,False,False,True
SAML_000014,2024-01-01 07:00:00,94.647964,USD,SAML_ACC_0075,SAML_ACC_0413,BANK_B,BANK_A,TRANSFER,DE,CA,False,PLACEMENT,0.2952548861503601,False,saml_d,,,,,,,,,,,7,0,False,False,4.560674,100.0,False,False,False,True
