iter	Passed	Remaining
0	5	1085
1	10	1029
2	15	1001
3	20	986
4	26	1022
5	32	1037
6	38	1054
7	46	1125
8	53	1125
9	58	1116
10	64	1101
11	70	1099
12	76	1097
13	81	1089
14	88	1091
15	95	1092
16	102	1101
17	109	1105
18	115	1100
19	120	1088
20	126	1080
21	134	1087
22	140	1081
23	146	1071
24	151	1061
25	158	1062
26	166	1064
27	171	1056
28	178	1050
29	183	1041
30	189	1033
31	195	1025
32	200	1016
33	206	1008
34	212	999
35	217	991
36	223	983
37	228	975
38	234	967
39	239	958
40	245	950
41	250	943
42	256	936
43	261	927
44	267	921
45	272	913
46	278	905
47	283	897
48	289	891
49	294	884
50	300	877
51	305	870
52	311	863
53	316	857
54	322	850
55	328	845
56	334	840
57	342	839
58	349	835
59	355	829
60	361	824
61	367	818
62	373	812
63	379	806
64	385	800
65	391	794
66	397	789
67	403	783
68	409	776
69	416	774
70	423	769
71	430	764
72	435	758
73	441	752
74	447	746
75	453	740
76	459	733
77	464	726
78	470	719
79	475	713
80	480	706
81	485	699
82	491	693
83	497	686
84	503	680
85	508	674
86	514	668
87	520	662
88	526	656
89	532	650
90	537	643
91	542	636
92	548	630
93	553	623
94	558	617
95	564	611
96	570	605
97	575	599
98	581	593
99	588	588
100	596	584
101	602	579
102	612	576
103	619	572
104	629	569
105	636	564
106	643	559
107	649	552
108	655	547
109	663	542
110	675	541
111	683	536
112	690	531
113	697	525
114	707	522
115	714	517
116	722	512
117	729	506
118	738	502
119	745	497
120	752	491
121	760	486
122	772	483
123	781	478
124	790	474
125	799	469
126	807	464
127	816	459
128	823	453
129	831	447
130	840	442
131	850	438
132	858	432
133	866	426
134	873	420
135	880	414
136	887	407
137	893	401
138	901	395
139	908	389
140	916	383
141	923	377
142	930	371
143	937	364
144	944	358
145	951	352
146	959	345
147	965	339
148	972	332
149	979	326
150	986	320
151	992	313
152	1000	307
153	1007	301
154	1014	294
155	1025	289
156	1033	283
157	1040	276
158	1046	269
159	1053	263
160	1059	256
161	1065	250
162	1072	243
163	1078	236
164	1084	230
165	1090	223
166	1097	216
167	1102	210
168	1108	203
169	1115	196
170	1121	190
171	1127	183
172	1133	176
173	1139	170
174	1145	163
175	1152	157
176	1159	150
177	1166	144
178	1174	137
179	1182	131
180	1190	125
181	1199	118
182	1206	112
183	1213	105
184	1220	98
185	1227	92
186	1236	85
187	1244	79
188	1251	72
189	1259	66
190	1267	59
191	1275	53
192	1282	46
193	1289	39
194	1297	33
195	1304	26
196	1311	19
197	1318	13
198	1325	6
199	1331	0
